City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max. Temp.,Wind Speed
Ushuaia,100,AR,1574563217,37,-54.81,-68.31,55.4,19.46
Mayo,90,CA,1574563333,84,63.59,-135.9,1.4,3.02
Kungurtug,73,RU,1574563334,68,50.6,97.53,-2.56,2.55
Te Anau,23,NZ,1574563334,63,-45.41,167.72,53.33,8.86
Lebu,100,ET,1574563334,94,8.96,38.73,54.48,1.36
Barrow,0,AR,1574563334,63,-38.31,-60.23,52.25,15.01
Kodiak,1,US,1574562987,74,39.95,-94.76,37.4,4.7
Vaini,0,IN,1574563335,82,15.34,74.49,64.4,3.36
Ulladulla,90,AU,1574563335,56,-35.36,150.48,69.8,8.05
Bereda,32,ES,1574563335,87,43.27,-7.54,48.99,6.93
Punta Arenas,75,CL,1574563272,81,-53.16,-70.91,50.0,10.29
Vestmanna,100,FO,1574562917,81,62.16,-7.17,46.4,8.05
Mataura,90,NZ,1574563335,58,-46.19,168.86,59.0,25.01
Kapaa,90,US,1574563310,74,22.08,-159.32,84.2,16.11
Chowchilla,0,US,1574563336,58,37.12,-120.26,60.8,5.44
New Norfolk,75,AU,1574563336,34,-42.78,147.06,72.0,16.11
Arraial do Cabo,78,BR,1574563336,91,-22.97,-42.02,73.09,21.3
Torbay,5,CA,1574563314,79,47.66,-52.73,35.01,13.87
Hasaki,75,JP,1574562923,93,35.73,140.83,64.4,6.93
Avarua,100,CK,1574563127,88,-21.21,-159.78,77.0,8.05
Alenquer,20,BR,1574563337,83,-1.95,-54.74,80.6,6.93
Porto Novo,75,BR,1574563337,88,-23.68,-45.44,66.2,6.93
Naryan-Mar,100,RU,1574563337,96,67.67,53.09,28.49,9.19
Grindavik,75,IS,1574563191,100,63.84,-22.43,35.6,2.24
Darovskoy,81,RU,1574563338,68,58.77,47.96,16.88,3.96
Rikitea,80,PF,1574563306,65,-23.12,-134.97,71.91,7.54
Georgetown,20,GY,1574562782,100,6.8,-58.16,82.4,2.24
Port Elizabeth,90,US,1574563338,93,39.31,-74.98,50.0,4.12
Roald,100,NO,1574563338,93,62.58,6.12,41.0,8.05
Husavik,67,CA,1574563309,84,50.56,-96.99,39.0,10.0
Qaanaaq,100,GL,1574563339,66,77.48,-69.36,11.5,8.84
Khatanga,95,RU,1574563339,100,71.98,102.47,-21.96,2.26
Bilibino,18,RU,1574562781,96,68.06,166.44,-29.81,2.89
Tiksi,91,RU,1574563340,92,71.64,128.87,-24.25,5.95
Chokurdakh,80,RU,1574562849,99,70.62,147.9,-25.47,9.26
Hobart,75,AU,1574563091,34,-42.88,147.33,70.0,16.11
Bredasdorp,23,ZA,1574563325,77,-34.53,20.04,59.0,8.05
San Cristobal,8,HN,1574562985,94,14.68,-86.92,65.71,3.62
Puerto Ayora,32,EC,1574563341,83,-0.74,-90.35,69.01,3.0
Busselton,100,AU,1574563315,32,-33.64,115.35,78.01,9.15
Guerrero Negro,100,MX,1574562780,63,27.97,-114.04,66.87,3.22
Ahipara,3,NZ,1574562780,60,-35.17,173.16,82.99,22.12
Padang,100,ID,1574563341,91,-0.92,100.36,70.97,2.44
Cayenne,41,GF,1574562989,94,4.94,-52.33,77.0,5.55
Impfondo,100,CD,1574563342,93,1.62,18.06,71.56,1.95
Yulara,89,AU,1574563287,7,-25.24,130.99,93.2,14.99
Cradock,84,ZA,1574563345,75,-32.16,25.62,59.07,2.42
Castrillon,75,ES,1574563345,76,43.4,-6.79,50.0,11.41
Marsh Harbour,85,BS,1574563190,65,26.54,-77.06,75.07,10.31
Bahia Honda,10,CU,1574563346,81,22.9,-83.16,72.5,5.88
Aswan,1,EG,1574563346,42,24.09,32.9,58.69,8.46
Buraydah,0,SA,1574563057,93,26.33,43.97,57.2,4.7
Belaya Gora,95,RU,1574563346,99,68.54,146.19,-23.39,4.7
Pundaguitan,100,PH,1574563346,74,6.37,126.17,82.78,7.87
Coracora,100,PE,1574563347,71,-15.02,-73.78,50.7,2.71
Constitucion,5,MX,1574562782,17,23.99,-104.67,60.8,2.24
Margate,75,AU,1574562622,34,-43.03,147.26,70.0,16.11
Chicama,75,PE,1574562847,77,-7.84,-79.15,68.0,8.05
Sovetskoye,0,RU,1574563347,13,51.44,46.74,26.01,4.0
Kagoro,0,NG,1574563348,33,9.6,8.38,70.61,3.13
Hermanus,0,ZA,1574563310,88,-34.42,19.24,59.0,3.0
Albany,75,US,1574563348,55,42.65,-73.75,36.0,3.36
Bowen,35,AU,1574563348,38,-20.01,148.25,88.0,11.41
Longyearbyen,90,NO,1574563349,85,78.22,15.63,19.4,11.41
Luderitz,0,NA,1574563349,74,-26.65,15.16,59.97,27.94
Hami,0,CN,1574563349,14,42.84,93.51,27.19,3.76
Anchorage,90,US,1574563349,64,61.22,-149.89,39.2,13.87
Denpasar,20,ID,1574563231,79,-8.65,115.22,84.2,10.29
Chemax,0,MX,1574563350,97,20.66,-87.94,70.36,1.63
Cape Town,40,ZA,1574563266,93,-33.93,18.42,60.01,1.12
Anuradhapura,70,LK,1574563350,82,8.34,80.41,80.44,7.9
Bangui,100,CF,1574563209,87,4.39,18.55,72.43,2.64
Inhambane,100,MZ,1574563240,82,-23.87,35.38,79.38,13.35
Limon,1,US,1574563350,79,39.26,-103.69,37.0,4.7
Kieta,99,PG,1574563351,64,-6.22,155.63,86.32,7.7
Marakkanam,39,IN,1574563351,81,12.2,79.95,80.4,18.77
Acapulco,40,MX,1574563351,83,16.86,-99.88,80.6,0.78
Kavaratti,0,IN,1574563315,73,10.57,72.64,83.61,7.81
Mecca,2,SA,1574563351,68,21.43,39.83,72.91,1.63
Esperance,67,AU,1574563352,53,-33.86,121.89,73.4,14.99
Ribeira Grande,100,PT,1574563307,91,38.52,-28.7,64.11,14.85
Plettenberg Bay,10,ZA,1574563352,84,-34.05,23.37,60.08,3.42
Fort Nelson,20,CA,1574563053,92,58.81,-122.69,21.2,3.36
Tuatapere,6,NZ,1574562984,58,-46.13,167.69,60.01,25.01
College,90,US,1574562848,92,64.86,-147.8,26.6,1.14
Kilis,100,TR,1574563353,40,36.72,37.12,33.8,2.24
Axim,0,GH,1574563353,94,4.87,-2.24,75.94,1.74
Lagoa,25,PT,1574562919,87,37.14,-8.45,54.0,6.93
Saint-Francois,75,FR,1574563353,93,46.42,3.91,48.99,2.24
Kaseda,75,JP,1574563354,100,31.42,130.32,66.2,11.41
La Ronge,5,CA,1574562684,69,55.1,-105.3,39.2,8.05
Norman Wells,75,CA,1574562846,83,65.28,-126.83,-4.0,2.24
Nayoro,100,JP,1574563354,99,44.36,142.46,43.77,6.42
Korhogo,5,CI,1574563355,59,9.46,-5.63,76.64,5.08
Heinola,90,FI,1574563355,86,61.2,26.03,28.0,6.93
Altar,100,MX,1574563355,69,30.72,-111.84,61.0,3.0
Presidente Medici,100,BR,1574563226,93,-11.18,-61.9,73.13,1.5
Moose Factory,90,CA,1574563355,96,51.26,-80.61,32.0,9.17
Kroonstad,0,ZA,1574563355,94,-27.65,27.24,55.0,1.01
Hobyo,84,SO,1574562987,81,5.35,48.53,78.8,16.15
Hithadhoo,24,MV,1574562783,80,-0.6,73.08,82.74,14.81
Saint George,75,GR,1574563356,93,39.45,22.34,53.6,1.66
Constancia,0,CU,1574563356,83,22.24,-80.58,71.6,5.82
Saint-Leu,90,RE,1574563356,83,-21.15,55.28,77.0,3.36
Nome,1,US,1574563357,81,30.04,-94.42,55.99,4.7
Atuona,1,PF,1574563317,78,-9.8,-139.03,79.36,17.29
Djambala,100,CG,1574563357,92,-2.55,14.76,68.9,1.03
Awbari,0,LY,1574563357,18,26.59,12.77,62.35,4.63
Carnarvon,0,ZA,1574563357,77,-30.97,22.13,51.93,7.23
Hamilton,75,CA,1574562916,83,43.26,-79.87,37.99,4.7
Dikson,100,RU,1574563358,94,73.51,80.55,-0.11,14.5
Bintulu,75,MY,1574563130,79,3.17,113.03,86.0,3.36
Baherden,0,TM,1574563358,86,38.44,57.43,22.17,6.33
Jutai,0,BR,1574563358,93,-1.71,-47.89,73.9,2.46
Araouane,0,ML,1574563127,16,18.9,-3.53,68.05,6.58
Kitgum,100,UG,1574563359,97,3.3,32.88,63.1,1.77
Butaritari,100,KI,1574563359,61,3.07,172.79,83.8,3.38
Mar del Plata,100,AR,1574563359,56,-46.43,-67.52,65.37,6.31
Jamestown,0,AU,1574563359,12,-33.21,138.6,82.76,9.98
Nouakchott,0,MR,1574563192,59,18.08,-15.98,64.4,9.17
Caravelas,14,BR,1574563360,88,-17.73,-39.27,73.67,6.82
Saint-Pierre,95,FR,1574563360,93,48.95,4.24,41.0,6.93
Castro,90,CL,1574563360,93,-42.48,-73.76,51.8,10.29
Otane,0,NZ,1574563360,48,-39.89,176.62,77.0,14.0
Iqaluit,90,CA,1574563361,73,63.75,-68.52,26.6,9.17
Deputatskiy,100,RU,1574563055,93,69.3,139.9,-26.23,4.52
Cabedelo,20,BR,1574563361,83,-6.97,-34.84,77.0,4.7
Crixas,89,BR,1574563361,72,-14.55,-49.97,74.03,7.27
Pingxiang,59,CN,1574563361,47,27.63,113.85,74.21,0.56
Kaiserslautern,1,DE,1574563362,96,49.44,7.77,41.0,2.86
Bhuj,79,IN,1574563362,58,23.25,69.67,76.06,14.2
Saskylakh,100,RU,1574563362,100,71.97,114.09,-29.56,0.09
Bluff,0,AU,1574563362,25,-23.58,149.07,90.82,11.05
Senanga,99,ZM,1574563362,88,-16.1,23.3,69.46,1.1
Aksarka,0,RU,1574563195,81,66.56,67.8,-6.86,5.03
Kahului,40,US,1574563363,57,20.89,-156.47,80.6,19.46
Vila Franca do Campo,75,PT,1574562849,88,37.72,-25.43,68.0,18.34
Vestmannaeyjar,99,IS,1574563363,72,63.44,-20.27,42.3,14.14
Whitehorse,90,CA,1574563189,69,60.72,-135.06,33.8,10.29
Zuwarah,100,LY,1574563363,76,32.93,12.08,62.76,21.94
Rio Novo,100,BR,1574563364,99,-21.48,-43.13,71.01,3.87
Olga,1,US,1574562922,39,34.11,-118.17,66.99,3.4
Ilulissat,100,GL,1574562921,47,69.22,-51.1,37.4,14.99
Seoul,75,KR,1574563064,71,37.57,126.98,59.0,3.36
Saint-Philippe,1,CA,1574563315,74,45.36,-73.48,35.6,4.7
Kalemie,100,CD,1574563365,98,-5.95,29.2,62.67,3.53
Sol-Iletsk,0,RU,1574563365,88,51.16,55.0,11.57,8.14
Hilo,90,US,1574563365,88,19.71,-155.08,73.4,4.7
Port Alfred,100,ZA,1574563360,84,-33.59,26.89,64.0,1.01
Tuktoyaktuk,90,CA,1574563338,85,69.44,-133.03,10.4,5.82
Andra,100,RU,1574563365,92,62.52,65.89,2.97,3.18
Sorland,100,NO,1574563059,93,67.67,12.69,44.78,19.75
Gobabis,61,NA,1574563127,20,-22.45,18.97,70.5,7.81
Sioux Lookout,90,CA,1574563104,80,50.1,-91.92,33.8,9.17
San Patricio,0,PY,1574563305,72,-26.98,-56.83,69.64,10.56
Villa Alemana,0,CL,1574563366,87,-33.04,-71.37,60.8,3.36
Lumphat,40,KH,1574562983,60,13.5,106.97,81.95,5.3
Dwarka,40,IN,1574563367,82,28.58,77.04,59.0,4.7
Kovdor,98,RU,1574563367,92,67.56,30.47,24.22,7.47
Ponta do Sol,100,BR,1574562847,90,-20.63,-46.0,67.35,0.85
Reshetylivka,81,UA,1574563367,43,49.56,34.08,21.33,11.1
Cairns,0,AU,1574563367,40,-16.92,145.77,93.99,12.75
Erenhot,0,CN,1574563368,37,43.65,111.97,11.89,15.55
Sobolevo,100,RU,1574563368,38,54.43,31.9,22.23,9.66
Thompson,90,CA,1574563368,92,55.74,-97.86,21.2,6.93
Pangnirtung,89,CA,1574563368,85,66.15,-65.72,19.78,5.23
Nanortalik,0,GL,1574563189,64,60.14,-45.24,33.87,7.74
Flinders,90,AU,1574562922,56,-34.58,150.85,73.0,8.05
Khorramshahr,0,IR,1574563369,67,30.43,48.18,59.0,6.93
Lata,100,IN,1574563369,42,30.78,78.62,23.83,4.99
Puerto Narino,75,CO,1574563369,100,-3.77,-70.38,75.2,1.97
Tadine,41,NC,1574563369,58,-21.55,167.88,75.9,13.58
Cedeno,13,CO,1574563369,95,7.05,-72.16,67.42,3.71
Kaniama,100,CD,1574563370,98,-7.57,24.18,62.44,1.63
Janauba,100,BR,1574563370,91,-1.63,-45.47,76.14,3.47
Cape Coast,0,GH,1574563056,80,5.11,-1.24,81.91,10.02
Victoria,75,BN,1574562916,70,5.28,115.24,86.0,4.7
Prince Rupert,90,CA,1574563370,81,54.32,-130.32,44.6,17.22
Bulawayo,100,ZW,1574562778,89,-20.16,28.59,64.9,2.24
Maracaibo,75,CO,1574563371,78,3.41,-75.78,71.6,8.05
Flin Flon,50,CA,1574562783,89,54.77,-101.88,32.74,9.95
Pevek,100,RU,1574562849,100,69.7,170.27,-16.04,7.87
Xuddur,6,SO,1574563371,86,4.12,43.89,72.84,12.88
Touros,75,BR,1574562917,74,-5.2,-35.46,78.8,6.93
Saint-Georges,3,CA,1574563120,79,46.12,-70.67,30.0,1.01
Nikolskoye,55,RU,1574563372,85,59.7,30.79,15.01,2.24
Yellowknife,90,CA,1574563182,92,62.45,-114.38,19.4,9.17
Lavrentiya,23,RU,1574563372,79,65.58,-170.99,10.11,17.47
Pareora,36,NZ,1574563059,60,-44.49,171.21,64.99,8.01
Tilichiki,34,RU,1574563373,80,60.47,166.1,0.18,8.61
Praya,75,ID,1574563373,59,-8.71,116.27,89.6,6.93
Miyako,90,JP,1574563373,93,33.63,130.94,62.01,3.36
Sinnar,0,IN,1574563373,55,19.85,74.0,70.41,7.27
Dunedin,3,NZ,1574563073,72,-45.87,170.5,59.0,28.99
Vila Praia de Ancora,75,PT,1574563373,93,41.81,-8.85,55.99,4.7
Gejiu,47,CN,1574563374,66,23.36,103.16,61.93,3.83
Lasa,7,CY,1574563374,67,34.92,32.53,57.2,9.17
Haines Junction,83,CA,1574563054,95,60.75,-137.51,16.92,6.91
Kurilsk,100,RU,1574563374,98,45.23,147.88,45.03,20.11
Cholet,0,FR,1574563375,93,47.06,-0.88,42.8,5.82
Chuy,0,UY,1574562849,73,-33.69,-53.46,59.86,10.18
Makakilo City,90,US,1574563194,78,21.35,-158.09,82.4,10.29
Atar,0,MR,1574563375,46,20.52,-13.05,66.52,8.34
Northam,97,AU,1574563375,30,-31.65,116.67,80.6,9.17
Mahebourg,99,MU,1574563319,86,-20.41,57.7,78.01,2.75
Port Blair,0,IN,1574563376,65,11.67,92.75,82.36,12.84
Gizo,0,IL,1574563193,76,31.8,34.94,60.01,1.12
Hetauda,75,NP,1574563376,100,27.43,85.03,53.6,2.24
Airai,0,TL,1574563125,29,-8.93,125.41,88.0,7.96
Micheweni,100,TZ,1574563376,79,-4.97,39.83,82.29,4.79
Voh,8,NC,1574563377,76,-20.95,164.69,72.72,23.33
Anshun,100,CN,1574563096,84,26.25,105.93,60.35,6.4
Touho,22,NC,1574563377,36,-20.78,165.23,87.71,2.39
Bima,0,ID,1574563377,29,-8.45,118.73,98.2,2.57
Ismailia,0,EG,1574563283,73,30.6,32.27,58.62,4.0
Fairbanks,90,US,1574563317,100,64.84,-147.72,23.0,1.43
Russell,1,US,1574563371,74,38.9,-98.86,37.4,9.17
Katsuura,75,JP,1574563378,72,33.93,134.5,66.0,9.17
Bakaly,21,RU,1574563378,94,55.18,53.8,11.98,6.6
Palmares do Sul,87,BR,1574563378,90,-30.26,-50.51,60.01,1.99
Palmer,0,AU,1574563379,49,-34.85,139.16,80.01,12.75
Swanzey,1,US,1574563379,92,42.87,-72.28,34.0,2.17
Katima Mulilo,100,NA,1574563379,86,-17.5,24.28,69.51,3.56
Nantucket,1,US,1574563379,80,41.28,-70.1,39.99,13.02
Pankovka,100,RU,1574563379,39,58.5,31.2,26.67,6.69
Beohari,100,IN,1574563380,49,24.05,81.38,67.21,3.76
Jackville,75,CI,1574563380,94,5.21,-4.42,73.4,13.87
Alem Paraiba,100,BR,1574563380,94,-21.89,-42.7,66.72,3.36
Vardo,90,US,1574563380,100,39.62,-77.74,39.0,3.36
Marzuq,0,YE,1574562855,70,14.4,46.47,62.67,0.65
Sterling,90,US,1574563254,100,39.0,-77.4,41.0,3.36
Pochutla,40,MX,1574563326,74,15.74,-96.47,80.6,4.7
Alofi,83,NU,1574562986,94,-19.06,-169.92,77.0,4.7
Saldanha,26,PT,1574562784,97,41.42,-6.55,38.93,5.73
Taoudenni,0,ML,1574563381,41,22.68,-3.98,64.31,5.73
Qaqortoq,57,GL,1574563369,49,60.72,-46.03,23.0,3.36
Puri,58,ID,1574563382,37,-7.54,112.45,95.23,3.51
Taltal,0,CL,1574563382,87,-25.41,-70.49,57.69,1.57
Sedlcany,90,CZ,1574563382,87,49.66,14.43,44.6,8.05
Sao Joao da Barra,100,BR,1574563382,87,-21.64,-41.05,73.9,18.14
Naze,1,NG,1574563354,97,5.43,7.07,74.21,3.06
Zhezkazgan,75,KZ,1574563057,84,47.8,67.71,1.4,4.47
Ha Tinh,2,VN,1574563134,79,18.33,105.9,72.54,5.21
Sur,0,OM,1574563383,68,22.57,59.53,71.83,8.55
Severo-Kurilsk,99,RU,1574562848,99,50.68,156.12,35.26,11.12
Kaeo,0,NZ,1574563383,62,-35.1,173.78,82.99,8.1
Lhokseumawe,84,ID,1574563384,71,5.18,97.15,79.77,3.42
Sovetskaya Gavan,100,RU,1574563384,47,48.97,140.29,29.89,12.44
Codrington,33,AU,1574563384,40,-28.95,153.24,89.6,16.11
Poum,31,MK,1574563384,92,41.28,20.71,39.9,4.7
Zyryanka,100,RU,1574563384,96,65.73,150.89,-17.61,10.63
Salgueiro,36,BR,1574563385,50,-8.07,-39.12,80.1,10.58
Kaitangata,10,NZ,1574563385,65,-46.28,169.85,55.09,32.35
Vao,0,EE,1574562846,60,59.1,26.19,23.31,4.76
Lindsay,90,CA,1574563385,100,44.36,-78.74,35.01,2.24
Vostok,100,RU,1574563385,82,46.45,135.83,19.53,7.4
Atlantic Beach,40,US,1574563386,77,30.33,-81.4,72.0,20.8
Boyolangu,53,ID,1574562991,49,-8.09,111.9,90.01,9.35
Aklavik,20,CA,1574563386,77,68.22,-135.01,-0.4,4.7
Churapcha,100,RU,1574563386,97,62.0,132.43,-20.54,5.57
Kholm,90,AF,1574563386,100,36.69,67.7,37.4,3.36
Bethel,90,US,1574563338,92,60.79,-161.76,24.8,3.36
Kruisfontein,15,ZA,1574562918,88,-34.0,24.73,54.84,4.23
Tagusao,35,PH,1574563365,67,9.19,117.81,85.21,8.08
Lompoc,1,US,1574563052,66,34.64,-120.46,66.2,3.56
Angoram,68,PG,1574563387,54,-4.06,144.07,92.39,2.93
Adrar,0,DZ,1574563193,44,27.87,-0.29,59.0,6.93
Laguna,2,BZ,1574563388,94,16.17,-88.94,75.2,1.34
Kasongo-Lunda,100,CD,1574563388,95,-6.48,16.82,67.71,1.95
Nhulunbuy,75,AU,1574563388,62,-12.18,136.78,87.8,11.41
Batticaloa,100,LK,1574563388,81,7.71,81.69,80.06,3.15
Hofn,100,IS,1574562988,90,64.25,-15.21,45.64,22.66
Belyy Yar,92,RU,1574563389,78,53.6,91.39,10.4,4.47
Talaya,75,RU,1574563389,84,55.79,84.89,3.2,15.66
Loreto,14,PY,1574563389,65,-23.27,-57.32,76.46,5.46
Kuremaa,45,EE,1574563389,73,58.74,26.54,23.0,5.82
